"","X","uid","item","finalrating","recommendationId","SelectionCandidateStatus"
"6727",6727,28,4488,2,3,0
"6530",6530,28,4341,3,2,0
"45403",45403,471,3892,1,7,0
"3720",3720,553,346,5,6,1
"27106",27106,272,172,2,5,0
"45626",45626,471,6447,2,8,0
"33422",33422,339,21355,3,1,0
"26897",26897,269,17557,2,8,0
"12556",12556,98,8139,1,7,0
"21927",21927,216,3291,2,5,0
"253",253,28,219,2,1,1
"45397",45397,471,21160,1,1,0
"2770",2770,397,1923,4,7,1
"36545",36545,371,23416,2,4,0
"11196",11196,77,7373,1,9,0
"33102",33102,335,1380,2,9,0
"36735",36735,372,671,2,8,0
"4714",4714,3,3040,1,6,0
"15063",15063,134,694,1,1,0
"23292",23292,235,8,1,4,0
"5676",5676,16,3776,2,9,0
"28672",28672,286,18552,2,9,0
"24113",24113,244,15762,2,2,0
"43191",43191,436,27399,1,7,0
"28445",28445,286,18413,3,8,0
"12578",12578,98,8089,1,8,0
"11200",11200,77,1559,2,8,0
"18838",18838,177,12362,2,9,0
"26184",26184,265,160,2,7,0
"30694",30694,311,3808,2,9,0
"8086",8086,40,5079,1,5,0
"50793",50793,539,31585,1,2,0
"37198",37198,378,23797,2,2,0
"52362",52362,558,21348,2,9,0
"53150",53150,571,32987,2,8,0
"20886",20886,201,13701,1,7,0
"22682",22682,227,14965,1,9,0
"21912",21912,216,14462,2,7,0
"53293",53293,571,15213,4,1,0
"3007",3007,431,2077,5,6,1
"26323",26323,265,180,2,4,0
"47369",47369,490,29691,2,1,0
"7503",7503,34,2957,1,5,0
"50853",50853,539,31641,1,4,0
"25667",25667,260,16928,1,9,0
"26206",26206,265,4809,1,2,0
"25853",25853,262,5389,3,9,0
"13313",13313,104,8541,2,8,0
"3112",3112,447,10,2,0,1
"35011",35011,352,22411,2,4,0
"55768",55768,598,1344,1,3,0
"28284",28284,286,15347,1,6,0
"17657",17657,164,11519,2,2,0
"4340",4340,3,2817,2,9,0
"12883",12883,101,432,2,3,0
"46261",46261,479,28953,4,0,0
"28398",28398,286,17200,2,2,0
"2241",2241,314,11,5,6,1
"40349",40349,410,25708,1,4,0
"18902",18902,177,12415,3,0,0
"6612",6612,28,4405,2,6,0
"35280",35280,358,3353,2,5,0
"7200",7200,32,4854,1,3,0
"6653",6653,28,244,2,3,0
"55855",55855,600,5975,1,3,0
"9179",9179,52,667,1,4,0
"53412",53412,571,459,1,7,0
"56646",56646,608,2752,1,5,0
"33076",33076,335,6712,2,3,0
"34460",34460,345,22104,2,5,0
"13870",13870,115,8963,1,6,0
"42988",42988,436,27244,1,6,0
"891",891,117,624,5,4,1
"54253",54253,578,28607,2,8,0
"33009",33009,335,21176,1,9,0
"23416",23416,236,15314,2,3,0
"51630",51630,548,32142,2,8,0
"39411",39411,397,25119,1,6,0
"53481",53481,573,33147,1,1,0
"3092",3092,444,472,5,3,1
