uid,item
2,5
3,12
4,81
7,90
9,97
10,117
11,14
12,131
13,136
16,146
17,158
18,166
19,170
20,173
21,178
25,190
28,212
31,13
32,288
34,301
35,319
36,14
37,336
38,13
39,351
40,14
44,379
48,396
49,401
52,13
54,440
55,446
56,451
58,13
60,346
63,6
65,458
66,6
67,14
70,416
71,466
72,14
74,13
75,477
77,496
80,499
82,412
83,505
86,515
98,546
99,146
100,189
101,170
103,560
104,569
108,581
114,596
115,602
116,609
117,13
118,625
120,635
122,644
124,656
128,189
129,19
130,674
131,679
134,690
139,703
141,719
142,720
143,189
145,740
147,746
148,763
151,777
152,795
154,814
157,818
159,825
164,835
169,856
170,819
171,867
172,877
174,891
176,898
177,583
178,912
179,818
180,19
184,924
185,930
186,935
187,967
189,975
193,987
197,1000
199,1007
201,146
208,1033
209,416
214,1044
215,1051
216,1059
219,1073
220,1077
221,146
222,1085
223,1095
225,1102
226,1105
227,1117
229,1131
231,1139
235,1150
236,14
239,13
240,1192
242,1102
243,125
244,1203
246,1216
247,1227
252,41
256,1247
257,1270
258,14
259,1283
260,1305
261,1120
262,14
263,1329
265,13
268,1338
269,1346
271,1361
272,41
274,1372
275,471
276,166
284,1394
286,1397
288,19
289,1438
294,1450
297,1458
298,731
300,1465
303,1474
305,1481
306,1488
307,1494
310,1516
311,1523
312,1535
314,14
316,356
317,89
321,125
322,189
324,1577
325,1585
328,1598
329,1600
334,496
335,416
339,1626
342,1637
343,1641
345,1647
347,1670
348,1681
349,1686
351,1707
352,1711
353,1716
355,1726
357,469
358,1736
359,1744
360,1768
361,1775
363,1792
364,346
365,1798
368,19
369,1812
371,1820
372,947
375,1831
376,1836
378,1849
380,19
382,1869
383,667
389,14
390,13
392,1895
394,1901
396,1913
397,1921
400,19
401,1941
402,1946
403,1952
404,1958
405,1964
407,1073
410,1974
413,1997
416,2006
417,2012
419,2025
420,158
421,2048
422,19
427,125
430,2069
431,2072
436,2086
440,2117
441,326
442,2126
444,14
445,466
447,13
448,891
449,6
451,2147
455,416
459,2163
464,2178
467,2183
469,2190
471,13
472,2199
474,2210
475,13
476,2214
477,2224
478,13
479,2230
480,2238
483,818
485,2255
487,2261
488,2266
489,2278
490,2289
497,2308
498,13
499,2321
501,2328
503,2331
508,2135
509,2037
514,2358
518,2370
519,170
520,416
521,13
522,13
523,430
524,1139
525,13
526,13
529,14
532,2389
534,2395
536,2411
539,2421
540,2429
541,13
542,2434
544,2441
548,2308
553,2198
556,14
557,2488
558,2493
560,2505
561,2510
563,2521
566,2532
570,2543
571,170
572,2568
573,1119
575,2370
577,2573
578,731
580,442
581,2584
585,559
586,2605
588,620
589,2616
590,2625
591,1626
593,2630
594,2635
596,2637
597,326
598,189
600,170
603,2652
604,2308
607,2669
608,416
609,13
610,170
612,416
613,14
615,2683
616,326
