uid,item
186,950
115,607
235,1162
419,2028
72,364
472,2203
128,673
472,2205
397,1925
235,64
235,672
403,1957
436,2091
392,1897
613,20
571,914
257,1272
75,492
101,558
509,2348
588,64
3,67
447,392
58,10
501,2329
4,84
3,22
451,2149
471,181
479,2233
560,2509
117,624
143,41
577,2574
235,1163
215,1057
422,504
467,2185
608,2675
193,991
236,364
314,947
359,1765
117,344
17,160
242,579
603,1627
10,119
347,1674
169,461
397,1931
534,2406
575,466
352,1714
201,1020
503,1150
534,2398
37,339
28,265
286,1406
227,617
151,779
590,30
75,480
349,1690
128,669
471,342
222,1090
142,728
383,846
3,71
37,340
25,198
371,1821
9,110
420,2038
518,430
9,105
286,1403
497,2311
186,622
305,1485
215,1053
260,1316
360,1771
349,1705
594,64
382,1874
71,10
541,13
82,503
312,1537
117,8
226,1109
345,1668
389,437
436,2103
322,170
148,766
235,181
349,1688
558,2497
298,496
383,341
220,1082
441,433
272,62
86,518
459,2135
306,1492
363,1658
526,2380
147,749
52,171
480,2239
274,1377
275,181
35,320
410,1992
242,1197
401,1942
169,859
447,2137
455,1530
116,618
397,1926
152,800
272,1368
28,225
44,384
598,2644
383,1877
476,2217
37,304
268,344
479,2237
526,13
469,2194
151,786
28,266
442,64
339,1631
361,1783
52,429
529,168
37,180
609,1191
117,465
148,769
566,2535
544,2444
298,620
164,837
353,1721
208,1036
383,64
365,1801
226,1115
563,2526
329,1604
235,342
608,430
48,397
169,863
442,2127
171,876
74,6
3,33
147,756
483,93
286,1422
534,2399
307,1500
164,836
352,644
529,472
534,2407
86,526
588,93
239,1191
176,899
490,2294
345,1657
558,2494
58,166
489,2284
11,127
86,469
272,343
613,61
444,93
613,2679
572,312
52,431
86,517
394,1907
157,819
52,426
52,432
28,255
449,472
589,2618
581,2595
3,75
459,2164
260,1317
548,2462
314,1548
378,1862
286,1433
186,958
275,167
272,344
164,838
430,344
17,163
148,765
420,2047
243,344
12,132
179,917
239,178
571,130
70,11
594,41
223,1099
193,988
368,10
359,1759
227,352
604,2667
345,1658
314,1548
134,697
591,1633
471,344
359,1754
585,2604
28,263
170,503
397,1932
469,2192
600,19
172,886
74,364
487,2264
445,428
571,303
28,240
258,20
488,2275
556,20
52,416
7,92
358,1738
372,1826
483,94
143,496
179,168
521,312
122,651
405,1968
260,1320
529,130
139,704
571,2567
534,2396
353,1718
286,1428
307,1509
143,167
405,1969
376,1846
49,410
28,226
317,81
116,616
114,597
402,1949
436,2105
544,2443
120,637
189,976
117,424
310,1522
151,787
28,264
44,386
397,1930
49,404
311,1532
368,6
314,1544
52,14
523,2378
31,167
151,788
571,2550
60,347
609,890
548,2460
28,239
186,946
34,41
604,1906
316,168
317,1567
571,2251
3,46
449,10
419,540
529,93
187,970
488,2271
347,1671
322,171
585,2602
177,910
286,1417
131,683
9,114
447,349
348,1684
474,1230
3,41
361,1780
497,2309
152,804
368,556
104,575
600,10
28,235
3,25
416,2007
239,181
548,2467
141,167
131,679
117,623
294,1453
268,1340
177,908
570,2547
34,43
77,433
221,1084
597,465
314,1547
34,313
100,557
240,1194
324,700
216,1061
186,963
259,1296
142,729
60,10
358,1739
580,2583
303,1478
560,2506
334,6
235,1161
36,331
286,1399
613,11
40,358
3,31
307,1504
571,912
152,804
257,1276
396,1918
311,1526
359,1756
436,2107
186,363
28,247
541,27
286,1399
52,425
187,973
610,171
503,472
359,1762
32,294
258,6
610,64
534,2397
286,1425
586,2608
509,912
312,1538
441,300
55,449
67,315
80,64
475,169
436,2092
298,168
442,10
28,250
246,1223
185,933
447,64
357,10
298,6
231,1141
345,1648
397,1924
114,599
3,48
272,180
596,2638
216,1065
525,10
56,454
360,1774
32,289
403,1953
28,215
269,1355
3,25
449,349
174,894
286,846
172,885
259,1299
235,671
129,6
355,1728
139,710
518,345
420,429
311,10
169,864
187,969
103,566
575,1163
490,2292
529,304
86,519
28,222
63,64
25,193
259,1288
405,1966
25,202
49,409
32,293
271,1364
464,64
334,304
508,2345
380,557
334,345
131,680
225,579
522,350
28,241
604,2668
609,167
171,875
164,839
189,979
349,1700
558,2496
427,11
442,93
471,424
522,64
11,126
152,801
258,167
147,759
201,1016
431,2075
298,167
271,1363
52,420
28,257
239,1190
49,411
39,354
143,166
225,969
272,1368
578,64
164,840
483,167
417,2014
157,820
177,911
178,61
359,1751
28,262
522,46
122,646
307,1508
363,1796
28,247
256,1255
441,167
297,1462
325,1588
219,1076
347,1680
334,167
548,2461
603,2665
324,1583
588,1327
334,1339
3,64
525,171
575,433
225,1103
526,10
357,167
216,1062
396,1919
358,1741
378,1851
2,11
114,599
518,168
193,989
571,2252
216,1066
378,1860
262,168
147,758
268,1344
410,1979
307,1495
269,1350
145,743
306,1493
390,21
498,181
445,20
421,2055
529,126
9,103
335,1612
55,450
436,2104
417,2022
345,1662
508,2346
186,965
334,168
349,1704
257,1280
525,459
421,2054
317,1563
214,1045
143,171
3,59
514,2362
590,6
421,2051
392,1899
17,162
548,2226
3,40
134,696
410,1981
534,2401
52,433
335,61
394,1906
553,11
259,1286
329,1602
219,1074
612,93
141,352
71,468
259,1284
325,1590
222,1092
70,130
247,1234
594,367
529,166
101,171
124,657
394,1902
101,93
3,53
215,1056
236,304
286,335
422,10
497,2312
369,1813
364,64
394,1905
467,2187
186,951
227,1124
603,2655
383,344
307,1509
483,181
307,1503
361,1786
13,141
520,1555
201,147
421,2057
571,2560
352,1715
259,1284
325,1592
148,772
329,1601
236,1176
420,2036
74,166
581,2586
104,576
257,1277
402,1951
229,1133
117,430
229,1135
120,640
300,1466
597,519
74,167
306,1489
347,1680
311,167
548,2468
317,1566
608,10
328,1599
590,2198
410,1975
397,1933
483,436
124,659
345,1651
442,2129
483,364
503,2334
474,2211
522,59
103,564
221,152
600,6
558,2499
571,1340
455,436
72,20
588,94
508,2342
170,64
548,1906
591,1628
324,1578
311,61
474,1649
159,829
142,730
476,2218
553,2045
186,960
455,731
289,1442
236,1169
28,270
358,1737
471,11
235,672
128,671
101,10
28,234
464,167
151,790
197,1001
475,1191
305,1484
365,1805
553,1378
48,400
297,1461
519,1534
597,2643
436,2095
70,430
169,861
311,93
578,496
436,2096
598,2647
236,365
