"uid","item"
1,1
1,3
1,4
2,6
2,7
2,8
2,9
2,10
2,11
3,12
3,13
3,14
3,15
3,17
3,20
3,21
3,22
3,24
3,25
3,26
3,27
3,28
3,29
3,31
3,33
3,34
3,35
3,36
3,38
3,40
3,41
3,42
3,43
3,45
3,46
3,48
3,49
3,50
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,60
3,10
3,10
3,62
3,63
3,64
3,65
3,66
3,66
3,67
3,69
3,69
3,69
3,70
3,71
3,72
3,73
3,74
3,75
3,76
3,77
3,79
3,80
4,81
4,82
4,83
4,84
4,85
4,86
5,87
5,88
6,89
6,89
7,90
7,92
7,94
8,95
8,96
9,98
9,99
9,102
9,103
9,104
9,105
9,106
9,107
9,108
9,110
9,111
9,112
9,113
9,114
9,114
9,114
9,116
10,117
10,119
10,120
10,121
10,122
10,123
10,124
11,14
11,125
11,126
11,127
11,128
11,129
12,132
12,133
13,136
13,137
13,139
13,140
14,142
14,143
14,143
15,145
16,146
16,147
16,148
16,149
16,150
16,151
16,152
16,153
16,154
16,155
16,156
17,158
17,13
17,159
17,160
17,161
17,162
17,164
17,165
18,166
18,6
18,10
18,64
18,168
19,170
19,19
19,172
20,173
20,174
20,175
20,177
21,178
21,179
21,180
21,181
21,183
22,185
22,186
22,187
23,188
24,189
24,170
24,171
25,190
25,191
25,192
25,193
25,194
25,195
25,196
25,199
25,200
25,201
25,202
25,203
25,204
25,205
25,206
25,207
25,208
26,209
26,210
27,211
28,212
28,213
28,215
28,216
28,217
28,217
28,218
28,219
28,221
28,223
28,224
28,224
28,225
28,225
28,226
28,226
28,229
28,230
28,231
28,232
28,233
28,234
28,234
28,234
28,234
28,235
28,236
28,237
28,238
28,239
28,240
28,241
28,242
28,243
28,244
28,245
28,246
28,247
28,247
28,247
28,247
28,250
28,254
28,256
28,257
28,258
28,259
28,260
28,261
28,262
28,263
28,263
28,264
28,264
28,265
28,267
28,268
28,270
28,271
28,272
28,273
28,275
28,277
28,278
28,280
29,281
29,282
29,283
30,285
31,13
31,167
31,286
32,288
32,290
32,292
32,294
32,295
33,297
33,298
33,299
34,301
34,14
34,302
34,6
34,20
34,303
34,304
34,305
34,41
34,306
34,43
34,307
34,308
34,310
34,311
34,312
34,10
34,313
34,314
34,315
34,316
34,317
34,318
35,319
35,320
35,321
35,322
35,323
35,324
35,325
36,14
36,326
36,327
36,328
36,329
36,331
36,332
36,61
36,333
36,64
36,180
36,129
36,335
37,336
37,304
37,41
37,338
37,339
37,167
37,340
37,64
37,341
37,180
37,342
37,344
37,181
38,13
38,346
38,21
38,348
38,349
39,351
39,352
39,355
40,356
40,170
40,20
40,357
40,358
40,27
40,359
40,361
40,307
40,362
40,8
40,363
40,364
40,365
40,366
40,367
40,368
41,370
42,373
42,374
42,375
43,376
43,377
44,379
44,380
44,381
44,382
44,384
44,385
44,386
44,387
45,388
45,389
45,391
46,392
46,393
47,394
47,395
48,396
48,397
48,398
48,399
48,399
48,400
49,401
49,402
49,402
49,405
49,409
49,410
49,411
50,412
51,413
51,415
52,13
52,14
52,417
52,418
52,420
52,421
52,358
52,423
52,424
52,425
52,426
52,427
52,428
52,430
52,338
52,431
52,171
52,364
52,434
52,435
52,436
52,437
53,438
53,439
54,440
54,441
54,442
54,443
54,444
54,445
55,446
55,447
55,448
55,449
55,450
56,451
56,452
56,453
56,455
57,456
57,457
58,13
58,6
58,21
58,10
58,350
59,166
59,6
59,10
60,346
60,8
60,167
60,10
60,11
60,181
61,6
61,10
61,64
62,6
62,10
62,11
63,6
63,167
63,10
63,11
64,166
64,6
64,167
64,10
65,458
65,13
65,368
65,459
66,6
66,167
66,64
66,11
66,169
67,14
67,308
67,167
67,171
67,64
67,64
67,344
67,169
67,181
67,93
68,344
69,461
69,463
70,416
70,6
70,464
70,465
70,167
70,10
70,11
70,169
70,130
71,466
71,19
71,6
71,6
71,30
71,337
71,467
71,167
71,10
71,64
71,468
72,14
72,170
72,469
72,6
72,20
72,470
72,428
72,471
72,171
72,10
72,364
72,313
72,365
72,64
72,93
72,93
73,473
73,474
73,475
73,476
74,13
74,392
74,6
74,167
74,10
74,364
74,64
75,477
75,478
75,480
75,481
75,482
75,483
75,484
75,485
75,486
75,488
75,489
75,492
76,494
76,495
77,496
77,497
77,167
77,433
77,64
77,181
78,13
78,21
79,300
80,500
80,501
80,167
80,62
80,502
80,64
80,435
81,6
81,10
81,11
82,503
82,300
82,64
82,504
83,505
83,506
83,507
83,509
84,416
84,510
85,511
85,513
85,514
86,516
86,517
86,19
86,469
86,6
86,519
86,520
86,521
86,522
86,43
86,10
86,524
86,525
86,510
87,527
87,528
87,529
88,530
88,531
89,532
89,533
89,534
90,536
90,537
90,123
91,538
92,539
93,540
93,461
94,541
94,542
95,543
96,544
97,545
98,547
98,548
98,549
98,550
99,146
99,551
99,152
99,553
99,554
99,555
100,189
100,170
100,167
100,171
101,30
101,503
101,558
101,10
101,64
101,172
101,180
101,93
102,559
102,352
103,561
103,563
103,564
103,565
103,566
103,568
