"","X","uid","item","finalrating","recommendationId","SelectionCandidateStatus"
"5",5,2,5,5,6,1
"12",12,3,12,5,8,1
"94",94,4,81,3,4,1
"111",111,9,97,4,1,1
"137",137,10,117,2,1,1
"145",145,11,14,3,2,1
"157",157,13,136,4,7,1
"168",168,16,146,2,0,1
"181",181,17,158,5,1,1
"191",191,18,166,5,6,1
"198",198,19,170,5,2,1
"209",209,21,178,5,4,1
"223",223,25,190,4,7,1
"245",245,28,212,5,1,1
"338",338,32,288,4,9,1
"351",351,34,301,5,8,1
"375",375,35,319,3,9,1
"382",382,36,14,5,2,1
"398",398,37,336,3,1,1
"417",417,38,13,5,1,1
"429",429,40,14,4,3,1
"459",459,44,379,4,6,1
"476",476,48,396,3,2,1
"484",484,49,401,4,6,1
"500",500,52,13,5,9,1
"530",530,54,440,4,9,1
"548",548,58,13,4,1,1
"559",559,60,346,4,6,1
"584",584,65,458,4,9,1
"590",590,66,6,4,4,1
"596",596,67,14,4,6,1
"613",613,70,416,4,9,1
"626",626,71,466,4,8,1
"638",638,72,14,4,3,1
"662",662,74,13,3,1,1
"673",673,75,477,3,9,1
"692",692,77,496,2,0,1
"703",703,80,499,5,7,1
"733",733,86,515,4,5,1
"774",774,98,546,4,0,1
"780",780,99,146,4,8,1
"787",787,100,189,5,5,1
"793",793,101,170,4,2,1
"806",806,103,560,4,3,1
"815",815,104,569,3,9,1
"842",842,114,596,4,5,1
"850",850,115,602,4,8,1
"857",857,116,609,4,6,1
"869",869,117,13,3,1,1
"893",893,118,625,5,4,1
"906",906,120,635,4,7,1
"917",917,122,644,4,0,1
"930",930,124,656,4,6,1
"950",950,128,189,4,9,1
"962",962,129,19,5,5,1
"973",973,131,679,3,0,1
"986",986,134,690,4,1,1
"1001",1001,139,703,4,8,1
"1018",1018,141,719,4,5,1
"1024",1024,142,720,4,9,1
"1036",1036,143,189,5,5,1
"1070",1070,147,746,3,0,1
"1091",1091,148,763,4,3,1
"1106",1106,151,777,4,7,1
"1130",1130,152,795,4,1,1
"1153",1153,154,814,5,6,1
"1165",1165,157,818,5,6,1
"1186",1186,164,835,5,9,1
"1210",1210,169,856,3,1,1
"1228",1228,171,867,5,9,1
"1238",1238,172,877,5,5,1
"1260",1260,176,898,4,8,1
"1267",1267,177,583,4,7,1
"1281",1281,179,818,4,5,1
"1300",1300,184,924,3,1,1
"1311",1311,186,935,3,8,1
"1349",1349,187,967,5,7,1
"1360",1360,189,975,3,3,1
"1387",1387,197,1000,5,8,1
"1396",1396,199,1007,3,0,1
"1403",1403,201,146,5,0,1
"1431",1431,208,1033,4,4,1
"1437",1437,209,416,4,9,1
"1449",1449,214,1044,4,6,1
"1456",1456,215,1051,5,6,1
"1467",1467,216,1059,4,0,1
"1486",1486,220,1077,4,5,1
"1501",1501,222,1085,3,5,1
"1511",1511,223,1095,4,7,1
"1522",1522,225,1102,4,0,1
"1534",1534,226,1105,5,7,1
"1546",1546,227,1117,4,6,1
"1566",1566,229,1131,3,1,1
"1574",1574,231,1139,5,5,1
"1587",1587,235,1150,5,8,1
"1626",1626,236,14,5,3,1
"1651",1651,239,13,5,7,1
"1673",1673,242,1102,4,0,1
"1685",1685,243,125,2,9,1
"1693",1693,244,1203,4,3,1
"1707",1707,246,1216,3,4,1
"1721",1721,247,1227,4,6,1
"1738",1738,252,41,4,9,1
"1752",1752,256,1247,5,3,1
"1776",1776,257,1270,5,2,1
"1790",1790,258,14,4,3,1
"1798",1798,259,1283,4,6,1
"1821",1821,260,1305,5,6,1
"1844",1844,262,14,5,3,1
"1852",1852,263,1329,5,6,1
"1859",1859,265,13,4,1,1
"1876",1876,268,1338,5,5,1
"1896",1896,269,1346,4,7,1
"1912",1912,271,1361,5,0,1
"1919",1919,272,41,4,9,1
"1938",1938,274,1372,3,0,1
"1945",1945,275,471,3,9,1
"1973",1973,284,1394,5,7,1
"1983",1983,286,1397,3,8,1
"2042",2042,288,19,5,5,1
"2069",2069,297,1458,3,8,1
"2075",2075,298,731,3,8,1
"2100",2100,303,1474,5,3,1
"2110",2110,305,1481,4,2,1
"2119",2119,306,1488,3,2,1
"2125",2125,307,1494,5,8,1
"2150",2150,310,1516,4,2,1
"2158",2158,311,1523,4,6,1
"2209",2209,314,14,5,3,1
"2245",2245,316,356,5,6,1
"2252",2252,317,89,5,7,1
